Intensity (mV), Distance (approx cm)
223, 13.7089071273
223, 13.7089071273
223, 13.7089071273
229, 13.5813827514
228, 13.6026363372
228, 13.6026363372
226, 13.6451454162
227, 13.6238908767
229, 13.5813827514
226, 13.6451454162
227, 13.6238908767
227, 13.6238908767
227, 13.6238908767
227, 13.6238908767
228, 13.6026363372
228, 13.6026363372
228, 13.6026363372
226, 13.6451454162
227, 13.6238908767
227, 13.6238908767
227, 13.6238908767
226, 13.6451454162
228, 13.6026363372
227, 13.6238908767
226, 13.6451454162
230, 13.5601282119
227, 13.6238908767
228, 13.6026363372
226, 13.6451454162
227, 13.6238908767
229, 13.5813827514
227, 13.6238908767
228, 13.6026363372
228, 13.6026363372
226, 13.6451454162
226, 13.6451454162
227, 13.6238908767
227, 13.6238908767
227, 13.6238908767
228, 13.6026363372
227, 13.6238908767
227, 13.6238908767
226, 13.6451454162
229, 13.5813827514
230, 13.5601282119
228, 13.6026363372
227, 13.6238908767
226, 13.6451454162
226, 13.6451454162
226, 13.6451454162
226, 13.6451454162
228, 13.6026363372
228, 13.6026363372
227, 13.6238908767
227, 13.6238908767
227, 13.6238908767
229, 13.5813827514
225, 13.6663990020
227, 13.6238908767
227, 13.6238908767
227, 13.6238908767
227, 13.6238908767
228, 13.6026363372
226, 13.6451454162
227, 13.6238908767
226, 13.6451454162
227, 13.6238908767
227, 13.6238908767
227, 13.6238908767
227, 13.6238908767
229, 13.5813827514
227, 13.6238908767
227, 13.6238908767
228, 13.6026363372
228, 13.6026363372
227, 13.6238908767
227, 13.6238908767
226, 13.6451454162
227, 13.6238908767
227, 13.6238908767
228, 13.6026363372
228, 13.6026363372
228, 13.6026363372
227, 13.6238908767
226, 13.6451454162
227, 13.6238908767
226, 13.6451454162
228, 13.6026363372
226, 13.6451454162
227, 13.6238908767
227, 13.6238908767
229, 13.5813827514
229, 13.5813827514
227, 13.6238908767
226, 13.6451454162
228, 13.6026363372
226, 13.6451454162
227, 13.6238908767
226, 13.6451454162
226, 13.6451454162
228, 13.6026363372
228, 13.6026363372
228, 13.6026363372
228, 13.6026363372
228, 13.6026363372
228, 13.6026363372
228, 13.6026363372
227, 13.6238908767
228, 13.6026363372
228, 13.6026363372
227, 13.6238908767
227, 13.6238908767
228, 13.6026363372
227, 13.6238908767
227, 13.6238908767
226, 13.6451454162
228, 13.6026363372
227, 13.6238908767
227, 13.6238908767
227, 13.6238908767
227, 13.6238908767
225, 13.6663990020
228, 13.6026363372
227, 13.6238908767
226, 13.6451454162
227, 13.6238908767
227, 13.6238908767
227, 13.6238908767
227, 13.6238908767
228, 13.6026363372
228, 13.6026363372
228, 13.6026363372
227, 13.6238908767
227, 13.6238908767
227, 13.6238908767
227, 13.6238908767
221, 13.7514152526
226, 13.6451454162
228, 13.6026363372
227, 13.6238908767
228, 13.6026363372
229, 13.5813827514
228, 13.6026363372
227, 13.6238908767
227, 13.6238908767
228, 13.6026363372
227, 13.6238908767
227, 13.6238908767
227, 13.6238908767
226, 13.6451454162
228, 13.6026363372
227, 13.6238908767
226, 13.6451454162
227, 13.6238908767
228, 13.6026363372
226, 13.6451454162
228, 13.6026363372
227, 13.6238908767
228, 13.6026363372
227, 13.6238908767
