Temperature (0.1 deg C), Pressure (Pa), Distance (approx cm)
226, 98715, 5
226, 98709, 5
226, 98726, 5
226, 98712, 5
226, 98718, 5
226, 98715, 5
226, 98715, 5
226, 98715, 5
226, 98718, 5
226, 98715, 5
226, 98715, 5
226, 98720, 5
226, 98723, 5
226, 98718, 5
226, 98715, 5
226, 98709, 5
226, 98718, 5
226, 98726, 5
226, 98715, 5
226, 98720, 5
226, 98723, 5
226, 98706, 5
226, 98718, 5
226, 98720, 5
226, 98718, 5
226, 98718, 5
226, 98715, 5
226, 98712, 5
226, 98718, 5
226, 98726, 5
226, 98720, 5
226, 98717, 5
226, 98726, 5
226, 98723, 5
226, 98720, 5
226, 98720, 5
227, 98720, 5
227, 98715, 5
227, 98726, 5
227, 98709, 5
227, 98709, 5
227, 98720, 5
227, 98712, 5
227, 98715, 5
227, 98717, 5
227, 98720, 5
227, 98717, 5
227, 98714, 5
227, 98723, 5
227, 98717, 5
227, 98720, 5
228, 98726, 5
228, 98717, 5
228, 98717, 5
228, 98714, 5
228, 98726, 5
228, 98714, 5
228, 98717, 5
228, 98711, 5
228, 98725, 5
228, 98720, 5
228, 98720, 5
229, 98720, 5
229, 98720, 5
229, 98734, 5
229, 98722, 5
229, 98722, 5
229, 98717, 5
229, 98717, 5
229, 98719, 5
229, 98722, 5
229, 98722, 5
229, 98717, 5
230, 98719, 5
230, 98731, 5
230, 98728, 5
230, 98714, 5
230, 98728, 5
230, 98722, 5
230, 98731, 5
230, 98711, 5
230, 98725, 5
231, 98719, 5
231, 98725, 5
231, 98711, 5
231, 98727, 5
231, 98725, 5
231, 98730, 5
231, 98719, 5
231, 98722, 5
232, 98727, 5
232, 98727, 5
232, 98727, 5
232, 98719, 5
232, 98724, 5
232, 98724, 5
232, 98719, 5
232, 98721, 5
233, 98721, 5
233, 98738, 5
233, 98730, 5
233, 98727, 5
233, 98718, 5
233, 98721, 5
233, 98735, 5
233, 98727, 5
233, 98727, 5
234, 98724, 5
234, 98724, 5
234, 98721, 5
