Intensity (mV), Distance (approx cm)
443, 9.0330009460
445, 8.9904928207
443, 9.0330009460
383, 10.3082485198
60, 17.1733283996
55, 17.2796001434
102, 16.2806549072
253, 13.0712833404
115, 16.0043525695
16, 18.1085109710
13, 18.1722717285
50, 17.3858699798
66, 17.0458049774
235, 13.4538574218
166, 14.9203920364
167, 14.8991384506
172, 14.7928676605
171, 14.8141212463
175, 14.7291049957
177, 14.6865968704
175, 14.7291049957
171, 14.8141212463
168, 14.8778839111
163, 14.9841547012
208, 14.0277194976
175, 14.7291049957
172, 14.7928676605
176, 14.7078514099
176, 14.7078514099
177, 14.6865968704
177, 14.6865968704
180, 14.6228342056
180, 14.6228342056
171, 14.8141212463
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
181, 14.6015806198
181, 14.6015806198
182, 14.5803260803
180, 14.6228342056
182, 14.5803260803
180, 14.6228342056
180, 14.6228342056
179, 14.6440887451
181, 14.6015806198
181, 14.6015806198
170, 14.8353757858
170, 14.8353757858
170, 14.8353757858
172, 14.7928676605
170, 14.8353757858
170, 14.8353757858
171, 14.8141212463
170, 14.8353757858
172, 14.7928676605
172, 14.7928676605
171, 14.8141212463
172, 14.7928676605
172, 14.7928676605
172, 14.7928676605
170, 14.8353757858
171, 14.8141212463
171, 14.8141212463
172, 14.7928676605
170, 14.8353757858
171, 14.8141212463
175, 14.7291049957
176, 14.7078514099
181, 14.6015806198
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
179, 14.6440887451
181, 14.6015806198
180, 14.6228342056
180, 14.6228342056
181, 14.6015806198
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
182, 14.5803260803
181, 14.6015806198
181, 14.6015806198
179, 14.6440887451
180, 14.6228342056
182, 14.5803260803
181, 14.6015806198
180, 14.6228342056
180, 14.6228342056
179, 14.6440887451
179, 14.6440887451
181, 14.6015806198
180, 14.6228342056
180, 14.6228342056
179, 14.6440887451
180, 14.6228342056
181, 14.6015806198
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
181, 14.6015806198
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
179, 14.6440887451
180, 14.6228342056
181, 14.6015806198
180, 14.6228342056
181, 14.6015806198
180, 14.6228342056
181, 14.6015806198
179, 14.6440887451
179, 14.6440887451
182, 14.5803260803
181, 14.6015806198
181, 14.6015806198
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
181, 14.6015806198
181, 14.6015806198
179, 14.6440887451
180, 14.6228342056
180, 14.6228342056
181, 14.6015806198
181, 14.6015806198
180, 14.6228342056
182, 14.5803260803
181, 14.6015806198
180, 14.6228342056
181, 14.6015806198
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
182, 14.5803260803
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
181, 14.6015806198
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
181, 14.6015806198
181, 14.6015806198
182, 14.5803260803
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
181, 14.6015806198
180, 14.6228342056
180, 14.6228342056
185, 14.5165634155
179, 14.6440887451
181, 14.6015806198
181, 14.6015806198
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
181, 14.6015806198
179, 14.6440887451
180, 14.6228342056
179, 14.6440887451
180, 14.6228342056
181, 14.6015806198
181, 14.6015806198
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
182, 14.5803260803
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
181, 14.6015806198
180, 14.6228342056
180, 14.6228342056
181, 14.6015806198
180, 14.6228342056
181, 14.6015806198
181, 14.6015806198
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
181, 14.6015806198
180, 14.6228342056
180, 14.6228342056
179, 14.6440887451
181, 14.6015806198
180, 14.6228342056
181, 14.6015806198
180, 14.6228342056
180, 14.6228342056
179, 14.6440887451
180, 14.6228342056
181, 14.6015806198
181, 14.6015806198
180, 14.6228342056
180, 14.6228342056
181, 14.6015806198
180, 14.6228342056
180, 14.6228342056
179, 14.6440887451
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
182, 14.5803260803
181, 14.6015806198
180, 14.6228342056
181, 14.6015806198
179, 14.6440887451
181, 14.6015806198
181, 14.6015806198
182, 14.5803260803
182, 14.5803260803
181, 14.6015806198
181, 14.6015806198
180, 14.6228342056
179, 14.6440887451
180, 14.6228342056
180, 14.6228342056
182, 14.5803260803
180, 14.6228342056
181, 14.6015806198
182, 14.5803260803
180, 14.6228342056
181, 14.6015806198
182, 14.5803260803
180, 14.6228342056
181, 14.6015806198
181, 14.6015806198
181, 14.6015806198
180, 14.6228342056
181, 14.6015806198
182, 14.5803260803
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
181, 14.6015806198
181, 14.6015806198
181, 14.6015806198
180, 14.6228342056
180, 14.6228342056
179, 14.6440887451
182, 14.5803260803
181, 14.6015806198
181, 14.6015806198
181, 14.6015806198
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
179, 14.6440887451
181, 14.6015806198
180, 14.6228342056
183, 14.5590724945
180, 14.6228342056
182, 14.5803260803
180, 14.6228342056
181, 14.6015806198
181, 14.6015806198
181, 14.6015806198
180, 14.6228342056
179, 14.6440887451
180, 14.6228342056
180, 14.6228342056
179, 14.6440887451
179, 14.6440887451
180, 14.6228342056
181, 14.6015806198
182, 14.5803260803
181, 14.6015806198
180, 14.6228342056
180, 14.6228342056
181, 14.6015806198
179, 14.6440887451
181, 14.6015806198
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
182, 14.5803260803
180, 14.6228342056
180, 14.6228342056
181, 14.6015806198
180, 14.6228342056
179, 14.6440887451
182, 14.5803260803
180, 14.6228342056
180, 14.6228342056
181, 14.6015806198
181, 14.6015806198
181, 14.6015806198
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
181, 14.6015806198
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
180, 14.6228342056
181, 14.6015806198
180, 14.6228342056
182, 14.5803260803
182, 14.5803260803
180, 14.6228342056
181, 14.6015806198
181, 14.6015806198
